Market,Order Quantity,Entry Price,Exit Price,Opening Fee,Closing Fee,Funding Fee,cumClosedPzOpenFeeInfo,cumClosedPzTradeFeeInfo,Trade Type,Realized P&L,Trade time
BTCUSDT,0.0060,76065.40000000,76050.50000000,0.25101582,0.25096665,0E-8,"{""USDT"":""0.25101582""}","{""USDT"":""0.25096665""}",Trade,-0.41258247,21:02 2026-05-26
TAOUSDT,1.7590,283.95000000,285.89389426,0.27470744,0.27658806,-0.02489072,"{""USDT"":""0.27470744""}","{""USDT"":""0.27658806""}",Trade,-3.94571478,20:16 2026-05-25
TAOUSDT,0.5400,274.01433334,285.19000000,0.08138227,0.08470143,0.03722301,"{""USDT"":""0.08138227""}","{""USDT"":""0.08470143""}",Trade,5.83155329,19:22 2026-05-25
ETHUSDT,0.2300,2130.74000000,2125.66000000,0.26953861,0.26889599,0E-8,"{""USDT"":""0.26953861""}","{""USDT"":""0.26889599""}",Trade,0.62996540,15:22 2026-05-25
ETHUSDT,0.0600,2090.66000000,2133.49000000,0.06899178,0.07040517,-0.01424749,"{""USDT"":""0.06899178""}","{""USDT"":""0.07040517""}",Trade,-2.69494946,15:10 2026-05-25
BTCUSDT,0.0020,74622.70000000,77666.30000000,0.08208497,0.08543293,0.03825547,"{""USDT"":""0.08208497""}","{""USDT"":""0.08543293""}",Trade,5.88142663,09:34 2026-05-25
SOLUSDT,1.5000,85.57000000,83.90000000,0.07059525,0.06921750,0.01611022,"{""USDT"":""0.07059525""}","{""USDT"":""0.0692175""}",Trade,-2.66092297,21:37 2026-05-24
ETHUSDT,0.0700,2116.92000000,2075.18000000,0.08150142,0.07989443,0.02521799,"{""USDT"":""0.08150142""}","{""USDT"":""0.07989443""}",Trade,-3.10841384,21:35 2026-05-24
TAOUSDT,0.4930,276.54959433,271.04000000,0.07498648,0.07349250,0.01380155,"{""USDT"":""0.07498648""}","{""USDT"":""0.0734925""}",Trade,-2.87851053,14:16 2026-05-24
TAOUSDT,0.5160,282.23000000,276.50928294,0.08009689,0.07847334,0.01440079,"{""USDT"":""0.08009689""}","{""USDT"":""0.07847334""}",Trade,-3.12486102,05:38 2026-05-24
ETHUSDT,0.0700,2029.75000000,2111.72000000,0.07814539,0.08130122,0.00930496,"{""USDT"":""0.07814539""}","{""USDT"":""0.08130122""}",Trade,5.56914843,20:37 2026-05-23
TAOUSDT,0.5130,269.12567252,279.84000000,0.07593389,0.07895687,0.00707864,"{""USDT"":""0.07593389""}","{""USDT"":""0.07895687""}",Trade,5.33448060,20:37 2026-05-23
SOLUSDT,1.7000,82.17000000,85.47000000,0.07682895,0.07991445,-0.01778267,"{""USDT"":""0.07682895""}","{""USDT"":""0.07991445""}",Trade,5.47103927,20:36 2026-05-23
TAOUSDT,0.5310,257.82000000,268.23000000,0.07529634,0.07833658,-0.00342058,"{""USDT"":""0.07529634""}","{""USDT"":""0.07833658""}",Trade,5.37749766,14:56 2026-05-23
